Index: 65, yy: 0, fitness[0]: 210
Index: 63, yy: 7, fitness[0]: 340
Index: 74, yy: 7, fitness[0]: 340
Index: 67, yy: 7, fitness[0]: 340
Index: 62, yy: 0, fitness[0]: 210
Index: 60, yy: 7, fitness[0]: 220
Index: 70, yy: 7, fitness[0]: 220
Index: 61, yy: 7, fitness[0]: 340
Index: 68, yy: 7, fitness[0]: 220
Index: 72, yy: 7, fitness[0]: 310
Index: 71, yy: 7, fitness[0]: 340
Index: 75, yy: 7, fitness[0]: 340
Index: 73, yy: 0, fitness[0]: 240
Index: 64, yy: 0, fitness[0]: 240
Index: 66, yy: 7, fitness[0]: 220
Index: 69, yy: 7, fitness[0]: 220
Index: 76, yy: 7, fitness[0]: 220
Index: 79, yy: 0, fitness[0]: 210
Index: 78, yy: 7, fitness[0]: 250
Index: 77, yy: 0, fitness[0]: 240
