Index: 241, yy: 7, fitness[0]: 220
Index: 253, yy: 7, fitness[0]: 340
Index: 254, yy: 7, fitness[0]: 220
Index: 243, yy: 7, fitness[0]: 310
Index: 252, yy: 7, fitness[0]: 340
Index: 250, yy: 7, fitness[0]: 220
Index: 248, yy: 7, fitness[0]: 340
Index: 251, yy: 7, fitness[0]: 310
Index: 245, yy: 7, fitness[0]: 310
Index: 249, yy: 7, fitness[0]: 310
Index: 255, yy: 7, fitness[0]: 310
Index: 244, yy: 7, fitness[0]: 340
Index: 240, yy: 7, fitness[0]: 250
Index: 246, yy: 7, fitness[0]: 340
Index: 247, yy: 7, fitness[0]: 310
Index: 242, yy: 7, fitness[0]: 220
Index: 256, yy: 7, fitness[0]: 250
Index: 258, yy: 7, fitness[0]: 310
Index: 257, yy: 7, fitness[0]: 310
Index: 259, yy: 7, fitness[0]: 310
