Index: 13, uu: 6, fitness[0]: 250
Index: 9, uu: 6, fitness[0]: 280
Index: 7, uu: 6, fitness[0]: 130
Index: 1, uu: 6, fitness[0]: 190
Index: 15, uu: 6, fitness[0]: 250
Index: 3, uu: 6, fitness[0]: 280
Index: 11, uu: 0, fitness[0]: 210
Index: 12, uu: 6, fitness[0]: 280
Index: 4, uu: 6, fitness[0]: 310
Index: 6, uu: 6, fitness[0]: 190
Index: 2, uu: 6, fitness[0]: 220
Index: 8, uu: 6, fitness[0]: 280
Index: 5, uu: 6, fitness[0]: 220
Index: 10, uu: 6, fitness[0]: 100
Index: 0, uu: 0, fitness[0]: 150
Index: 14, uu: 0, fitness[0]: 210
Index: 17, uu: 6, fitness[0]: 250
Index: 16, uu: 6, fitness[0]: 280
Index: 18, uu: 6, fitness[0]: 220
Index: 19, uu: 6, fitness[0]: 160
