Index: 109, uu: 6, fitness[0]: 250
Index: 115, uu: 6, fitness[0]: 250
Index: 114, uu: 6, fitness[0]: 280
Index: 107, uu: 6, fitness[0]: 220
Index: 101, uu: 0, fitness[0]: 210
Index: 110, uu: 6, fitness[0]: 250
Index: 105, uu: 6, fitness[0]: 280
Index: 102, uu: 6, fitness[0]: 220
Index: 104, uu: 0, fitness[0]: 180
Index: 106, uu: 0, fitness[0]: 150
Index: 108, uu: 0, fitness[0]: 210
Index: 112, uu: 6, fitness[0]: 250
Index: 103, uu: 6, fitness[0]: 220
Index: 100, uu: 0, fitness[0]: 180
Index: 111, uu: 6, fitness[0]: 220
Index: 113, uu: 6, fitness[0]: 280
Index: 117, uu: 0, fitness[0]: 180
Index: 116, uu: 6, fitness[0]: 100
Index: 118, uu: 6, fitness[0]: 250
Index: 119, uu: 6, fitness[0]: 100
