Index: 203, yy: 7, fitness[0]: 220
Index: 209, yy: 7, fitness[0]: 220
Index: 211, yy: 0, fitness[0]: 210
Index: 201, yy: 7, fitness[0]: 310
Index: 204, yy: 7, fitness[0]: 340
Index: 202, yy: 7, fitness[0]: 340
Index: 215, yy: 0, fitness[0]: 210
Index: 206, yy: 7, fitness[0]: 220
Index: 207, yy: 7, fitness[0]: 250
Index: 212, yy: 7, fitness[0]: 340
Index: 208, yy: 7, fitness[0]: 250
Index: 213, yy: 7, fitness[0]: 340
Index: 200, yy: 0, fitness[0]: 210
Index: 210, yy: 7, fitness[0]: 340
Index: 214, yy: 7, fitness[0]: 340
Index: 205, yy: 7, fitness[0]: 310
Index: 217, yy: 7, fitness[0]: 250
Index: 219, yy: 0, fitness[0]: 210
Index: 216, yy: 7, fitness[0]: 310
Index: 218, yy: 0, fitness[0]: 120
Index: 225, yy: 0, fitness[0]: 210
Index: 232, yy: 7, fitness[0]: 250
Index: 231, yy: 0, fitness[0]: 210
Index: 229, yy: 0, fitness[0]: 240
Index: 230, yy: 7, fitness[0]: 310
Index: 222, yy: 7, fitness[0]: 250
Index: 224, yy: 7, fitness[0]: 220
Index: 223, yy: 0, fitness[0]: 210
Index: 233, yy: 0, fitness[0]: 210
Index: 220, yy: 7, fitness[0]: 340
Index: 226, yy: 7, fitness[0]: 310
Index: 221, yy: 0, fitness[0]: 240
Index: 234, yy: 7, fitness[0]: 340
Index: 235, yy: 7, fitness[0]: 250
Index: 227, yy: 7, fitness[0]: 250
Index: 228, yy: 7, fitness[0]: 220
Index: 238, yy: 7, fitness[0]: 340
Index: 236, yy: 7, fitness[0]: 310
Index: 237, yy: 7, fitness[0]: 310
Index: 239, yy: 0, fitness[0]: 240
Index: 248, yy: 7, fitness[0]: 340
Index: 240, yy: 7, fitness[0]: 250
Index: 245, yy: 7, fitness[0]: 310
Index: 244, yy: 0, fitness[0]: 240
Index: 247, yy: 7, fitness[0]: 310
Index: 249, yy: 7, fitness[0]: 310
Index: 250, yy: 7, fitness[0]: 220
